PC1, PC2, PC3
6.742800280562109318e-03,3.618178806801564031e-03,-1.370390336355142846e-02
7.268065020498783863e-03,-1.253024093164276792e-03,1.945448556566721499e-02
4.504214740920829338e-03,1.065436736119211754e-02,8.426286916296992988e-03
1.431102396727424245e-02,-2.043430713685448138e-02,-4.892492289008909491e-04
6.575267149128210739e-03,-8.732356542754704173e-03,-1.392081440412763771e-02
6.502172804711339738e-03,1.577562963058053852e-02,9.372824468824437691e-03
7.268555443813352716e-03,4.003860856896598527e-03,-1.095308502134112287e-02
7.875140896618282316e-03,4.540589610313774602e-03,-6.454803577154092156e-03
9.780066839576030679e-03,-4.699892517680570071e-03,-3.495763700688268080e-03
1.203016218224408837e-02,4.915206096372664278e-03,-1.618772088573967524e-02
7.577751006790456843e-03,-2.348594678477519335e-02,1.244975091083664644e-02
8.161221598190939244e-03,-8.432204249711930388e-03,3.902636461176888037e-03
1.039477302286893889e-02,4.478763054984159775e-03,-1.951424591763303157e-02
9.498593820003160479e-03,-2.078890434932805301e-02,5.481888280780246927e-05
7.834423032754098126e-03,1.393464868053253571e-02,8.052967850790716808e-03
4.992744386573397773e-03,-6.045540031115414353e-03,8.337866977974431673e-03
9.134769803653406892e-03,-4.115192326441911852e-03,-1.765826976928695433e-02
7.606693991351110885e-03,-1.217684027172521305e-03,-1.190457774655358236e-02
7.877686928216151574e-03,1.125062323623718342e-03,7.210071991359326415e-03
7.324964525171769568e-03,1.276065312171465599e-03,-1.310225079087047606e-02
1.198027952203834824e-02,1.213303578704152952e-02,-8.351211633672502369e-03
9.027556093607657164e-03,-5.823060057354468959e-03,1.310965353317932293e-03
7.557617110923449226e-03,-1.858205494719281092e-03,-4.206091279294990257e-03
8.371946089179944581e-03,-1.692047771929222708e-04,2.576510917427972305e-03
5.163000468026000822e-03,2.072297796229483297e-04,-9.198692093213731505e-03
1.464965065420334965e-02,-2.913098694983053821e-02,2.121738089978128863e-03
4.788438645148949784e-03,-8.961035421782366419e-04,-1.085068985739713089e-02
9.117332078865692316e-03,-5.963444852968883061e-03,-1.712388497885063143e-02
1.288087758180866960e-02,-1.748044097300381627e-02,8.579109627349153222e-03
5.698762608071708882e-03,8.767345060564483289e-03,3.323255517178010272e-03
1.022943012829814584e-02,5.889912749518327363e-03,6.221958744262504580e-03
4.999644707662845994e-03,7.637618722652208571e-03,3.774308088671846540e-04
8.463383738555624314e-03,3.010998161237385395e-03,7.130000150565704922e-03
4.812372707289569451e-03,-1.671956958468814869e-02,-5.242106577290143489e-03
1.018227865637454620e-02,8.498011781144697296e-03,-5.521346740828332600e-03
7.211048652431914334e-03,-9.462125290109632547e-03,8.189666998421846894e-03
7.907150654580710758e-03,1.758466180354981362e-03,-1.310796554512934711e-02
6.460833817863192129e-03,1.203303108307302895e-02,2.671010337459439436e-03
6.920883619797178928e-03,-2.096599230043037776e-03,1.625702355846463804e-02
8.640646787919568222e-03,1.644729701963520627e-02,1.077765900505532788e-02
3.219678059751500312e-03,6.759709265699400012e-03,3.990642039487432395e-03
7.694500600323217303e-03,5.285195250714304696e-03,-1.139131232213324088e-02
1.011190970562526360e-02,1.043386479654025319e-02,-1.446557990371847256e-02
4.623986885253140826e-03,3.065212585797364494e-03,7.206077743655964034e-03
8.143029827996021985e-03,5.967443900273647524e-03,5.826220614421854550e-03
8.159877501176412279e-03,-3.035009015218993571e-03,8.619098125209908798e-03
7.930830758090907581e-03,6.891349289954481171e-03,4.258841322477024439e-04
5.541007551537192356e-03,3.339195253178835632e-03,-3.990130154956147567e-04
1.470962069858831184e-02,-1.123396798957143530e-03,-2.035867336652574452e-02
7.269318061155246972e-03,-7.260043348556889826e-03,-1.458727271364840088e-02
8.489741271315664681e-03,-3.360758397424137150e-03,5.050824783501492617e-03
1.158472601684292988e-02,-1.642618807586637740e-03,7.046179292094918202e-03
9.029920967530415468e-03,-3.398919584423230108e-03,-4.838030770856417868e-03
4.288348370995497330e-03,-5.822628093254730158e-03,4.480378348106249693e-03
6.532215543846863447e-03,-4.858429271441611422e-03,6.791284785738468726e-04
1.072302069188150499e-02,-1.111776504885270307e-02,4.262492510850539491e-03
8.463286730508726846e-03,-1.222002941836913305e-02,-1.669976834065117419e-02
4.784878737009984513e-03,1.173037207111697795e-02,8.197521864789145823e-03
1.023314590653925937e-02,-3.339261467972190998e-03,-2.080953521625040006e-02
3.967291541103566861e-03,3.335502886072028855e-03,1.273400410416259732e-04
5.993336690914754378e-03,-4.513834356557986684e-03,-9.153611188407465710e-03
1.158609113094992947e-02,-2.499585962132263531e-03,-2.482824268454681890e-03
6.176612126756336925e-03,2.788722524110773000e-03,-6.674411012275286575e-03
9.430454549448165358e-03,6.494295501568094105e-03,4.537183888492013657e-03
1.013160086373882801e-02,5.022994559786518598e-03,-1.093091172395831666e-02
6.569323128868046618e-03,7.538917268454793999e-03,-2.608098439841930773e-03
7.826278905424895529e-03,-5.611900695252618892e-03,-5.576614117440829334e-04
6.628527012150042634e-03,-2.098207693553386533e-03,-1.428397548190478601e-02
1.526340391537798352e-02,1.000922090570805292e-02,1.005991171141224980e-02
6.650481568993744236e-03,-1.643102960425000744e-02,1.728416939095063628e-03
6.972459804854823709e-03,-1.345813651549441310e-03,-1.208172348730379361e-02
1.030334608597664736e-02,-3.184982283852322987e-02,1.061585246017136830e-02
6.832870836879910426e-03,-1.243369529992009899e-02,1.311157188487963726e-02
1.239468838201117189e-02,1.353349462348127190e-02,2.542271642003572727e-03
7.123277096312346894e-03,1.329590803787211381e-02,5.143520225816954929e-03
8.912915494040062753e-03,1.366231867420069322e-02,-9.769663498544123997e-03
6.989445196706568081e-03,1.944373961709857258e-03,1.368390697270202572e-02
6.141148343936516339e-03,4.313069261612529487e-03,-6.542631299401893176e-03
9.044914243335736362e-03,1.612055960270139532e-02,1.165877777969348073e-03
1.367942952093809811e-02,6.870547225389960454e-03,-1.299712114753216047e-02
7.969163106833525995e-03,8.187748998179213231e-04,-1.433848105882943973e-02
1.137504223638937870e-02,-8.918287644224982824e-03,-2.970038215453432370e-03
1.061670783422340690e-02,-3.600182366953677462e-03,8.245794775452217062e-03
6.908812082176495929e-03,7.953582368128352077e-04,-1.618768408692835767e-02
9.860376234812189347e-03,3.826853435337287772e-03,-2.405606507581514383e-03
1.257346971144211560e-02,-3.448155238058453649e-03,-1.594677545901337576e-02
1.125116335922115088e-02,1.614904138094470920e-02,-9.999607760029132278e-03
9.218913696202335820e-03,-5.049496698441219462e-03,2.597560318805429598e-03
8.265021679369127794e-03,-1.002508181782048660e-02,-1.007019406650075562e-02
7.719607300034909969e-03,1.702167942369124318e-02,1.108815515749011875e-02
9.559198495679982824e-03,-1.756895521322734402e-03,1.347174809522441209e-02
9.046587520456228493e-03,-1.735438055869924744e-03,-1.217036148084310338e-03
6.188950571706448162e-03,6.808434963574795835e-03,-2.291048335477489494e-03
1.563488714638432489e-02,8.624330496948448901e-03,8.533391066242420817e-03
1.009195750284205828e-02,1.416757547136423580e-02,4.135714202148125899e-03
1.539779874331143744e-02,1.958211322071066931e-03,-1.384454090908739977e-02
5.221943101188520828e-03,6.401145247228652926e-03,-6.922587868526423535e-04
1.156859506965082947e-02,1.554217731317291025e-02,-1.070803505705850188e-03
